Barangay,Number of Accidents
AMUYONG,21
BRGY I (POB.),2
BRGY II (POB.),3
BRGY III (POB.),2
BRGY V (POB.),3
BUCK ESTATE,1
KAYTITINGA I,1
KAYTITINGA II,4
KAYTITINGA III,4
LUKSUHIN,12
LUKSUHIN ILAYA,4
MANGAS I,1
MANGAS II,9
MARAHAN,1
MARAHAN I,3
MARAHAN II,1
PAJO,2
SIKAT,5
SINALIW NA MUNTI,2
TAYWANAK IBABA,1
TAYWANAK ILAYA,1
UPLI,2
